I'm sorry, but errors were detected in your script. Please correct the
File "game/scenario/salles/4_1.rpy", line 527: Line with id b255eec0 appears twice. The other line is game/scenario/salles/4_0.rpy:527

File "game/scenario/salles/4_1.rpy", line 532: Line with id fa253ffe appears twice. The other line is game/scenario/salles/4_0.rpy:532

File "game/scenario/salles/4_1.rpy", line 535: Line with id 136afc07 appears twice. The other line is game/scenario/salles/4_0.rpy:535

File "game/scenario/salles/4_1.rpy", line 536: Line with id 447c2932 appears twice. The other line is game/scenario/salles/4_0.rpy:536

File "game/scenario/salles/4_1.rpy", line 537: Line with id af1b2321 appears twice. The other line is game/scenario/salles/4_0.rpy:537

File "game/scenario/salles/4_1.rpy", line 539: Line with id 96741638 appears twice. The other line is game/scenario/salles/4_0.rpy:539

File "game/scenario/salles/4_1.rpy", line 546: Line with id 8c6fb7e5 appears twice. The other line is game/scenario/salles/4_0.rpy:546

